一级目录,文件数,Markdown数,TXT数,建议知识库归属
CLAUDE.md,1,1,0,Agent Constitution
Daily,1,1,0,Session/Project Memory KB
README.md,1,1,0,Root System Map
_extracted,27,0,27,Course/Content Method KB
专业知识库,1,1,0,Knowledge Access Index
倩倩的节奏.canvas,1,0,0,Unclassified / Review
工商变更-木属艺科技.md,1,1,0,Unclassified / Review
木作,1544,1543,0,Product/Material/Craft/Delivery/Operations KB
案例,21,21,0,Case KB
案例仓库,8,5,0,Case Template KB
模板,2,2,0,Template KB
自媒体,90,90,0,Content/Publishing KB
运营策略,2,2,0,Business/Publishing KB
风格手册,7,7,0,Content Standards KB
